year,carrier,llegada,salida,dif
2013,WN,,2022-06-03T02:00:00Z,
2013,B6,,2022-06-03T04:00:00Z,
2013,B6,,2022-06-03T04:00:00Z,
2013,B6,,2022-06-03T03:00:00Z,
2013,B6,,2022-06-03T02:00:00Z,
2013,EV,,2022-06-03T02:00:00Z,
2013,B6,,2022-06-03T03:00:00Z,
2013,B6,,2022-06-03T03:00:00Z,
2013,US,,2022-06-02T10:00:00Z,
2013,UA,,2022-06-02T10:00:00Z,
2013,UA,,2022-06-02T10:00:00Z,
2013,B6,,2022-06-02T10:00:00Z,
2013,AA,,2022-06-02T10:00:00Z,
2013,B6,,2022-06-02T11:00:00Z,
2013,FL,,2022-06-02T11:00:00Z,
2013,AA,,2022-06-02T11:00:00Z,
2013,AA,,2022-06-02T11:00:00Z,
2013,DL,,2022-06-02T11:00:00Z,
2013,DL,,2022-06-02T11:00:00Z,
2013,B6,,2022-06-02T11:00:00Z,
2013,B6,,2022-06-02T11:00:00Z,
2013,MQ,,2022-06-02T11:00:00Z,
2013,EV,,2022-06-02T11:00:00Z,
2013,UA,,2022-06-02T11:00:00Z,
2013,EV,,2022-06-02T11:00:00Z,
2013,US,,2022-06-02T11:00:00Z,
2013,B6,,2022-06-02T11:00:00Z,
2013,US,,2022-06-02T11:00:00Z,
2013,UA,,2022-06-02T11:00:00Z,
2013,AA,,2022-06-02T11:00:00Z,
2013,WN,,2022-06-02T11:00:00Z,
2013,B6,,2022-06-02T11:00:00Z,
2013,MQ,,2022-06-02T11:00:00Z,
2013,EV,,2022-06-02T11:00:00Z,
2013,DL,,2022-06-02T11:00:00Z,
2013,UA,,2022-06-02T11:00:00Z,
2013,AA,,2022-06-02T11:00:00Z,
2013,B6,,2022-06-02T11:00:00Z,
2013,MQ,,2022-06-02T11:00:00Z,
2013,B6,,2022-06-02T11:00:00Z,
2013,WN,,2022-06-02T11:00:00Z,
2013,UA,,2022-06-02T11:00:00Z,
2013,DL,,2022-06-02T11:00:00Z,
2013,9E,,2022-06-02T11:00:00Z,
2013,US,,2022-06-02T11:00:00Z,
2013,B6,,2022-06-02T11:00:00Z,
2013,WN,,2022-06-02T11:00:00Z,
